"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","45.313","43.670","46.503","43.655","16.79M","3.76%"
"May 17, 2020","43.672","43.260","44.465","43.103","13.48M","0.94%"
"May 16, 2020","43.264","42.737","43.863","42.512","12.69M","1.24%"
"May 15, 2020","42.732","43.981","44.150","42.183","11.70M","-2.84%"
"May 14, 2020","43.982","43.179","44.356","42.344","12.72M","1.86%"
"May 13, 2020","43.178","42.184","43.735","41.959","10.54M","2.36%"
"May 12, 2020","42.184","41.542","42.793","41.334","12.79M","1.37%"
"May 11, 2020","41.613","42.101","42.849","39.575","15.36M","-1.19%"
"May 10, 2020","42.115","47.019","47.019","39.993","18.60M","-10.43%"
"May 09, 2020","47.020","47.711","49.088","46.951","10.08M","-1.48%"
"May 08, 2020","47.725","47.364","48.398","46.390","10.76M","0.79%"
"May 07, 2020","47.353","44.960","48.160","44.551","13.60M","5.31%"
"May 06, 2020","44.963","46.549","47.526","44.822","10.17M","-3.41%"
"May 05, 2020","46.549","46.971","47.736","45.826","8.21M","-0.90%"
"May 04, 2020","46.971","48.049","48.159","45.236","13.18M","-2.29%"
"May 03, 2020","48.073","49.214","49.929","46.847","13.38M","-2.32%"
"May 02, 2020","49.212","47.089","49.529","46.774","11.06M","4.51%"
"May 01, 2020","47.086","46.390","48.221","46.365","10.80M","1.48%"
"Apr 30, 2020","46.400","48.805","50.800","45.859","14.83M","-4.92%"
"Apr 29, 2020","48.802","45.732","49.844","45.710","18.11M","6.71%"
"Apr 28, 2020","45.734","44.460","46.020","43.434","13.73M","2.87%"
"Apr 27, 2020","44.460","44.565","45.190","43.240","21.97M","-0.24%"
"Apr 26, 2020","44.566","44.376","45.370","43.861","23.95M","0.32%"
"Apr 25, 2020","44.423","44.426","45.578","43.891","20.91M","-0.09%"
"Apr 24, 2020","44.463","42.970","44.920","42.841","19.24M","3.49%"
"Apr 23, 2020","42.965","41.818","43.876","41.003","23.77M","2.74%"
"Apr 22, 2020","41.819","40.590","42.263","40.285","16.84M","3.03%"
"Apr 21, 2020","40.589","40.229","41.280","40.038","15.12M","0.93%"
"Apr 20, 2020","40.214","42.246","43.203","39.638","21.80M","-4.79%"
"Apr 19, 2020","42.236","44.142","44.265","41.901","15.51M","-4.31%"
"Apr 18, 2020","44.137","42.190","44.400","42.059","9.75M","4.58%"
"Apr 17, 2020","42.206","42.547","42.983","41.640","8.90M","-0.80%"
"Apr 16, 2020","42.547","39.336","43.549","38.012","12.58M","8.14%"
"Apr 15, 2020","39.346","41.253","41.700","39.235","9.19M","-4.62%"
"Apr 14, 2020","41.253","41.199","41.826","40.528","9.76M","0.13%"
"Apr 13, 2020","41.199","42.020","42.030","39.763","18.78M","-1.96%"
"Apr 12, 2020","42.021","42.531","43.559","41.857","12.09M","-1.20%"
"Apr 11, 2020","42.532","42.270","43.136","41.488","10.71M","0.62%"
"Apr 10, 2020","42.270","46.275","46.449","40.957","16.45M","-8.66%"
"Apr 09, 2020","46.278","46.542","46.861","44.924","11.47M","-0.57%"
"Apr 08, 2020","46.542","44.882","47.250","44.348","11.65M","3.69%"
"Apr 07, 2020","44.885","45.008","47.605","43.864","12.25M","-0.28%"
"Apr 06, 2020","45.011","40.342","45.014","40.307","18.09M","11.57%"
"Apr 05, 2020","40.342","40.709","40.988","39.948","10.59M","-0.90%"
"Apr 04, 2020","40.709","40.476","41.073","40.009","12.54M","0.53%"
"Apr 03, 2020","40.493","39.906","41.238","39.682","14.52M","1.50%"
"Apr 02, 2020","39.895","39.215","42.712","38.443","23.08M","1.74%"
"Apr 01, 2020","39.214","39.058","39.429","37.200","21.16M","0.35%"
"Mar 31, 2020","39.078","38.924","39.562","38.414","20.82M","0.40%"
"Mar 30, 2020","38.923","37.194","39.605","37.180","17.05M","4.68%"
"Mar 29, 2020","37.185","38.848","39.101","37.117","7.79M","-4.29%"
"Mar 28, 2020","38.851","38.059","39.391","36.675","11.48M","2.09%"
"Mar 27, 2020","38.056","40.412","41.131","38.003","9.22M","-5.83%"
"Mar 26, 2020","40.413","39.181","40.444","38.517","8.58M","3.14%"
"Mar 25, 2020","39.181","40.575","40.946","38.209","9.14M","-3.43%"
"Mar 24, 2020","40.573","39.050","40.952","38.284","9.97M","3.90%"
"Mar 23, 2020","39.051","35.429","39.770","34.839","12.43M","10.22%"
"Mar 22, 2020","35.431","38.347","39.661","35.001","11.16M","-7.60%"
"Mar 21, 2020","38.347","38.046","39.751","36.468","11.98M","0.79%"
"Mar 20, 2020","38.045","38.976","43.486","34.473","18.67M","-2.38%"
"Mar 19, 2020","38.974","34.709","40.566","34.033","16.87M","12.30%"
