"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 25, 2018","166.3","176.0","180.0","160.3","2.51K","-5.51"
"Dec 26, 2018","167.9","166.3","173.5","158.0","2.32K","0.96"
"Dec 27, 2018","149.7","163.6","167.9","145.0","2.64K","-10.81"
"Dec 28, 2018","171.0","149.7","178.7","146.1","2.84K","14.20"
"Dec 29, 2018","165.0","171.0","181.0","161.9","3.30K","-3.51"
"Dec 30, 2018","168.5","165.0","172.0","162.1","0.96K","2.12"
"Dec 31, 2018","159.0","168.5","169.6","158.0","1.04K","-5.63"
"Jan 01, 2019","171.0","159.0","171.0","158.4","1.09K","7.55"
"Jan 02, 2019","178.0","171.0","182.0","166.0","2.50K","4.09"
"Jan 03, 2019","174.0","178.0","182.0","169.3","1.48K","-2.25"
"Jan 04, 2019","174.5","174.0","178.0","170.0","1.23K","0.27"
"Jan 05, 2019","189.5","174.5","196.0","174.5","7.99K","8.61"
"Jan 06, 2019","205.9","186.5","218.0","185.0","16.06K","8.67"
"Jan 07, 2019","203.5","205.9","210.9","201.3","6.85K","-1.19"
"Jan 08, 2019","213.0","203.5","225.0","195.0","9.73K","4.69"
"Jan 09, 2019","210.0","213.0","219.0","210.0","4.89K","-1.41"
"Jan 10, 2019","184.1","210.0","214.8","176.1","10.41K","-12.34"
"Jan 11, 2019","175.1","184.1","187.0","174.6","3.46K","-4.92"
"Jan 12, 2019","179.0","175.1","182.9","175.0","1.62K","2.26"
"Jan 13, 2019","167.0","179.0","184.8","166.0","3.31K","-6.72"
"Jan 14, 2019","175.4","169.9","186.6","165.1","6.80K","5.05"
"Jan 15, 2019","171.0","175.4","179.2","167.0","4.09K","-2.54"
"Jan 16, 2019","170.7","171.0","174.9","168.7","1.88K","-0.13"
"Jan 17, 2019","170.9","170.8","172.0","164.4","1.40K","0.09"
"Jan 18, 2019","167.6","170.9","171.4","163.8","1.98K","-1.91"
"Jan 19, 2019","173.4","167.6","176.0","165.6","2.50K","3.47"
"Jan 20, 2019","167.0","173.4","177.3","163.4","2.35K","-3.72"
"Jan 21, 2019","167.7","167.0","168.3","161.0","2.40K","0.40"
"Jan 22, 2019","169.0","167.7","174.4","161.0","1.85K","0.80"
"Jan 23, 2019","168.0","170.0","172.0","165.6","1.87K","-0.59"
"Jan 24, 2019","172.9","168.0","174.3","165.3","1.86K","2.89"
"Jan 25, 2019","172.2","172.9","174.0","169.6","2.09K","-0.37"
"Jan 26, 2019","174.1","173.5","179.8","172.6","1.41K","1.09"
"Jan 27, 2019","168.2","174.1","175.4","168.0","1.89K","-3.37"
"Jan 28, 2019","165.0","168.2","172.0","157.3","2.59K","-1.91"
"Jan 29, 2019","164.3","165.0","167.5","161.0","1.25K","-0.44"
"Jan 30, 2019","166.4","164.3","175.0","161.6","1.60K","1.31"
"Jan 31, 2019","162.5","166.4","169.3","161.5","0.80K","-2.39"
"Feb 01, 2019","170.5","163.0","174.7","160.0","2.48K","4.95"
"Feb 02, 2019","178.0","170.5","178.0","169.0","1.41K","4.40"
"Feb 03, 2019","174.8","178.0","179.5","171.1","1.83K","-1.81"
"Feb 04, 2019","174.6","174.8","181.0","171.9","2.93K","-0.09"
"Feb 05, 2019","175.6","174.6","178.9","174.2","0.96K","0.58"
"Feb 06, 2019","171.2","175.6","175.6","168.0","2.43K","-2.53"
"Feb 07, 2019","174.5","171.2","175.1","168.9","0.84K","1.92"
"Feb 08, 2019","222.9","174.5","225.0","173.0","10.04K","27.75"
"Feb 09, 2019","230.0","222.9","240.0","216.1","6.81K","3.19"
"Feb 10, 2019","240.2","230.0","250.0","219.0","7.81K","4.42"
"Feb 11, 2019","227.0","240.2","240.2","218.0","7.08K","-5.47"
"Feb 12, 2019","231.0","227.0","234.6","221.4","2.98K","1.75"
"Feb 13, 2019","220.4","231.0","232.0","212.0","3.78K","-4.59"
"Feb 14, 2019","218.6","220.4","224.0","213.0","2.12K","-0.79"
"Feb 15, 2019","222.1","218.6","231.5","218.2","3.33K","1.61"
"Feb 16, 2019","229.1","228.3","232.5","227.0","4.82K","3.13"
"Feb 17, 2019","228.8","229.1","235.0","225.0","3.30K","-0.14"
"Feb 18, 2019","243.0","228.8","257.0","228.5","7.84K","6.22"
"Feb 19, 2019","249.3","243.0","255.0","243.0","4.66K","2.59"
"Feb 20, 2019","268.4","249.3","278.7","246.0","7.93K","7.64"
"Feb 21, 2019","258.7","268.4","272.5","251.2","4.23K","-3.58"
"Feb 22, 2019","262.0","258.7","267.6","257.0","3.56K","1.26"
"Feb 23, 2019","272.0","262.0","275.0","256.0","4.91K","3.82"
"Feb 24, 2019","236.0","270.5","277.5","223.0","7.04K","-13.24"
"Feb 25, 2019","241.8","236.0","250.5","234.4","4.40K","2.47"
"Feb 26, 2019","240.0","241.8","245.8","235.6","1.94K","-0.76"
"Feb 27, 2019","239.1","240.0","243.8","226.3","2.87K","-0.37"
"Feb 28, 2019","245.8","239.1","248.9","238.9","2.95K","2.81"
"Mar 01, 2019","253.0","245.8","265.0","242.0","2.66K","2.92"
"Mar 02, 2019","260.0","253.0","264.0","250.5","3.80K","2.76"
"Mar 03, 2019","255.0","260.0","263.0","255.0","1.15K","-1.91"
"Mar 04, 2019","247.1","255.0","259.9","240.6","2.27K","-3.11"
"Mar 05, 2019","280.0","247.1","285.0","247.1","9.44K","13.31"
"Mar 06, 2019","299.6","280.0","301.0","275.5","6.59K","7.00"
"Mar 07, 2019","312.4","299.6","320.0","295.0","12.53K","4.29"
"Mar 08, 2019","301.5","312.4","313.9","287.9","7.66K","-3.49"
"Mar 09, 2019","313.9","301.5","320.0","301.3","8.19K","4.12"
"Mar 10, 2019","308.5","313.9","314.0","305.0","3.66K","-1.74"
"Mar 11, 2019","297.6","308.5","310.0","293.0","3.68K","-3.52"
"Mar 12, 2019","307.0","297.6","314.9","285.1","6.38K","3.16"
"Mar 13, 2019","303.0","307.0","312.0","299.3","4.09K","-1.30"
"Mar 14, 2019","305.0","303.0","311.9","300.0","4.42K","0.67"
"Mar 15, 2019","318.4","305.0","321.6","305.0","5.67K","4.39"
"Mar 16, 2019","331.1","318.4","337.0","316.5","6.16K","3.96"
"Mar 17, 2019","329.2","331.1","333.0","321.9","2.44K","-0.57"
"Mar 18, 2019","322.9","329.2","335.0","318.0","5.83K","-1.91"
"Mar 19, 2019","325.0","322.9","329.0","318.6","3.18K","0.64"
"Mar 20, 2019","327.7","325.0","328.5","316.2","3.89K","0.85"
"Mar 21, 2019","323.0","327.7","327.7","317.0","3.01K","-1.43"
"Mar 22, 2019","338.0","323.0","340.0","320.2","6.17K","4.64"
"Mar 23, 2019","346.9","338.0","349.5","336.5","3.71K","2.64"
"Mar 24, 2019","340.0","346.9","346.9","336.9","3.10K","-1.99"
"Mar 25, 2019","329.7","340.0","345.6","325.2","5.49K","-3.03"
"Mar 26, 2019","321.2","329.7","330.4","314.1","2.29K","-2.57"
"Mar 27, 2019","333.1","321.2","336.8","316.8","3.39K","3.71"
"Mar 28, 2019","337.0","333.1","338.5","327.5","1.85K","1.16"
"Mar 29, 2019","344.0","336.8","346.0","333.2","2.70K","2.07"
"Mar 30, 2019","339.2","344.0","345.4","336.2","2.47K","-1.38"
"Mar 31, 2019","340.0","339.2","341.8","337.0","0.57K","0.23"
"Apr 01, 2019","336.6","340.0","345.0","334.0","2.61K","-1.00"
"Apr 02, 2019","418.3","336.6","430.0","334.1","13.08K","24.25"
"Apr 03, 2019","484.0","418.3","552.0","418.0","35.83K","15.71"
"Apr 04, 2019","470.0","484.0","524.0","413.9","21.82K","-2.88"
"Apr 05, 2019","500.9","470.0","511.0","463.0","10.27K","6.58"
"Apr 06, 2019","525.8","500.9","550.0","475.0","19.11K","4.96"
"Apr 07, 2019","520.0","525.8","536.4","505.0","8.42K","-1.10"
"Apr 08, 2019","514.5","520.0","530.1","502.0","14.29K","-1.05"
"Apr 09, 2019","502.0","514.5","517.0","490.0","6.64K","-2.44"
"Apr 10, 2019","507.7","502.0","520.5","500.2","5.59K","1.14"
"Apr 11, 2019","457.0","507.7","509.6","441.1","13.93K","-10.00"
"Apr 12, 2019","464.0","456.0","496.0","440.0","7.21K","1.54"
"Apr 13, 2019","454.8","464.0","474.0","449.0","3.21K","-1.98"
"Apr 14, 2019","488.0","454.8","488.0","451.0","3.96K","7.30"
"Apr 15, 2019","461.8","488.0","490.7","443.0","12.10K","-5.37"
"Apr 16, 2019","469.6","461.8","475.0","456.0","5.24K","1.70"
"Apr 17, 2019","457.0","469.6","472.0","456.0","5.15K","-2.69"
"Apr 18, 2019","477.0","457.0","483.0","457.0","7.39K","4.38"
"Apr 19, 2019","483.8","477.0","484.0","469.1","3.66K","1.42"
"Apr 20, 2019","475.0","483.8","483.8","471.0","2.37K","-1.81"
"Apr 21, 2019","454.0","475.0","478.0","435.0","9.32K","-4.42"
"Apr 22, 2019","454.1","454.0","460.0","447.1","5.00K","0.02"
"Apr 23, 2019","441.0","454.1","464.9","441.0","6.15K","-2.89"
"Apr 24, 2019","435.0","441.0","460.0","422.5","10.60K","-1.36"
"Apr 25, 2019","424.0","435.0","448.5","424.0","4.87K","-2.53"
"Apr 26, 2019","430.8","424.0","439.8","417.3","3.53K","1.60"
"Apr 27, 2019","425.0","430.8","433.0","423.7","0.77K","-1.35"
"Apr 28, 2019","406.6","425.0","428.9","403.0","3.29K","-4.32"
"Apr 29, 2019","399.0","406.6","425.0","390.0","3.80K","-1.88"
"Apr 30, 2019","435.3","399.0","442.6","399.0","5.64K","9.10"
"May 01, 2019","429.5","435.3","444.0","421.0","3.50K","-1.33"
"May 02, 2019","430.8","429.5","438.5","427.2","2.92K","0.31"
"May 03, 2019","459.6","430.8","469.0","430.8","9.44K","6.67"
"May 04, 2019","462.2","459.6","480.0","445.0","5.91K","0.57"
"May 05, 2019","450.0","462.2","462.2","447.3","1.28K","-2.63"
"May 06, 2019","449.0","450.0","459.0","432.1","9.17K","-0.23"
"May 07, 2019","451.0","449.0","468.0","448.6","6.66K","0.44"
"May 08, 2019","451.3","451.0","456.0","444.0","3.36K","0.07"
"May 09, 2019","453.0","451.3","462.4","449.3","3.62K","0.37"
"May 10, 2019","462.0","453.0","473.4","444.0","7.31K","1.99"
"May 11, 2019","524.0","462.0","550.0","461.0","20.30K","13.41"
"May 12, 2019","495.8","524.0","545.0","480.0","12.79K","-5.38"
"May 13, 2019","523.6","495.8","558.0","495.0","14.39K","5.60"
"May 14, 2019","550.5","523.6","560.0","516.0","18.11K","5.14"
"May 15, 2019","617.9","550.5","634.0","547.6","20.21K","12.23"
"May 16, 2019","579.9","617.9","639.0","556.0","19.47K","-6.14"
"May 17, 2019","540.1","577.1","592.4","494.1","12.17K","-6.87"
"May 18, 2019","531.5","540.1","552.0","526.0","4.87K","-1.59"
"May 19, 2019","573.0","531.5","581.0","531.1","7.89K","7.81"
"May 20, 2019","560.2","573.0","573.0","535.0","7.19K","-2.24"
"May 21, 2019","558.0","560.2","563.0","544.2","3.33K","-0.39"
"May 22, 2019","545.0","558.0","560.0","530.0","4.79K","-2.32"
"May 23, 2019","548.0","545.5","551.7","531.0","3.05K","0.55"
"May 24, 2019","614.8","548.0","634.0","545.0","12.47K","12.17"
"May 25, 2019","625.0","615.0","635.0","607.1","6.60K","1.67"
"May 26, 2019","674.5","625.0","690.0","613.0","8.40K","7.92"
"May 27, 2019","705.0","674.5","744.9","670.0","14.25K","4.52"
"May 28, 2019","691.0","705.0","720.0","666.0","9.01K","-1.98"
"May 29, 2019","698.0","695.6","715.0","631.0","9.13K","1.01"
"May 30, 2019","657.2","698.0","713.0","618.0","11.59K","-5.84"
"May 31, 2019","679.0","657.2","683.9","640.0","5.30K","3.32"
"Jun 01, 2019","666.5","679.0","692.9","662.1","2.67K","-1.85"
"Jun 02, 2019","681.0","666.5","693.0","662.9","2.87K","2.18"
"Jun 03, 2019","650.0","681.0","690.0","640.0","3.23K","-4.55"
"Jun 04, 2019","611.0","645.0","650.0","585.0","6.04K","-6.00"
"Jun 05, 2019","619.2","611.0","632.7","601.0","2.53K","1.33"
"Jun 06, 2019","666.0","619.2","676.5","615.3","4.19K","7.57"
"Jun 07, 2019","699.8","668.9","713.0","657.0","10.35K","5.07"
"Jun 08, 2019","699.8","699.8","710.2","673.8","4.00K","0.00"
"Jun 09, 2019","697.0","699.8","708.0","676.0","3.22K","-0.41"
"Jun 10, 2019","755.0","697.0","755.0","670.0","10.43K","8.32"
"Jun 11, 2019","796.7","744.2","820.0","730.0","10.52K","5.52"
"Jun 12, 2019","785.1","796.7","836.9","758.0","9.88K","-1.46"
"Jun 13, 2019","771.1","785.1","807.0","765.0","5.84K","-1.78"
"Jun 14, 2019","782.0","771.1","790.0","758.0","6.28K","1.41"
